LONGITUD LATITUDE NUM_PICK FARE_PIC TIP_PICK FPD_PICK TPD_PICK TPF_PICK NUM_DROP FARE_DRO FARE_TIP FPD_DROP TPD_DROP TPF_DROP
 -74.030   40.690        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.700        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.710        2    8.250    1.250    6.555    1.067    0.152        4   11.750    2.033    5.464    1.243    0.173
 -74.030   40.720        4    8.750    1.980    5.727    1.228    0.226        6    7.667    1.193    5.269    0.772    0.156
 -74.030   40.730        6    7.918    1.775    6.430    0.940    0.224       15   33.967    5.211    7.018    1.264    0.153
 -74.030   40.740        4   20.812    3.865   18.452    4.354    0.186        9   28.750    5.354   13.797    2.921    0.186
 -74.030   40.750        6   11.832    2.777   21.245    0.943    0.235       17   32.499    4.414   14.377    1.050    0.136
 -74.030   40.760       11   22.591    2.693   16.304    1.991    0.119       12   20.125    3.128    8.096    1.186    0.155
 -74.030   40.770        1   50.000    0.000    4.587    0.000    0.000        4   65.050    3.335   11.961    0.871    0.051
 -74.030   40.780        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.790        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.800        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.810        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.820        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.830        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.840        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.850        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.860        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.030   40.870        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.020   40.680       35   24.757    1.375    3.393    0.225    0.056       73   28.527    0.469    3.218    0.055    0.016
 -74.020   40.690        4   15.125    1.750    4.378    0.405    0.116        6   21.917    2.820    3.742    0.419    0.129
 -74.020   40.700     9246   14.120    1.687    5.396    0.627    0.119    14233   16.035    1.624    4.832    0.503    0.101
 -74.020   40.710    13850   12.787    1.691    5.319    0.694    0.132    14213   13.963    1.789    4.965    0.666    0.128
 -74.020   40.720     1528   13.224    2.093    5.376    0.823    0.158     2102   11.403    1.800    5.263    0.798    0.158
 -74.020   40.730       64   10.633    1.295    5.724    0.599    0.122      139    9.993    1.223    5.360    0.614    0.122
 -74.020   40.740       13    9.308    1.502    6.282    1.034    0.161       30   10.967    1.248    6.110    0.643    0.114
 -74.020   40.750        4    5.500    0.290    6.246    0.362    0.053        5    9.300    0.772    5.624    0.637    0.083
 -74.020   40.760        4   10.875    0.790    6.084    0.282    0.073        5   21.600    1.632    5.795    0.398    0.076
 -74.020   40.770        1  122.000    0.000    6.778    0.000    0.000        9   45.778    3.819    9.828    1.065    0.083
 -74.020   40.780        2    7.500    0.000    5.209    0.000    0.000        2   10.500    0.000    5.061    0.000    0.000
 -74.020   40.790        1   33.250    0.000 3325.000    0.000    0.000        2   24.125    0.000 1664.527    0.000    0.000
 -74.020   40.800        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.020   40.810        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.020   40.820        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.020   40.830        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.020   40.840        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.020   40.850        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.020   40.860        1    8.500    1.860    7.083    1.550    0.219        1    7.500    0.000    7.500    0.000    0.000
 -74.020   40.870        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.010   40.680       53   13.123    1.764   19.628    1.683    0.134      144   17.865    2.589    9.501    0.853    0.145
 -74.010   40.690        5   13.800    2.352    3.600    0.707    0.170       13   18.308    2.618    4.163    0.566    0.143
 -74.010   40.700     9451   14.225    1.951    5.224    0.714    0.137     9220   15.403    1.977    5.064    0.642    0.128
 -74.010   40.710    14839   11.110    1.361    6.747    0.758    0.122    15905   11.581    1.389    6.537    0.740    0.120
 -74.010   40.720    19594   10.199    1.395    6.108    0.856    0.137    25867    9.986    1.408    5.853    0.840    0.141
 -74.010   40.730    24756    9.037    1.252    6.630    0.886    0.139    19970    8.655    1.165    6.345    0.812    0.135
 -74.010   40.740    20870    9.722    1.341    6.808    0.971    0.138    25258    9.341    1.298    6.214    0.903    0.139
 -74.010   40.750     8083   10.362    1.446    6.928    0.971    0.140    20551    9.201    1.251    6.444    0.874    0.136
 -74.010   40.760     2661   11.105    1.360    5.997    0.777    0.122     2321    9.876    0.955    6.107    0.549    0.097
 -74.010   40.770        9    9.533    1.420    5.516    0.810    0.149        9    8.178    1.174    5.496    0.773    0.144
 -74.010   40.780        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -74.010   40.790        1   20.000    0.000    3.636    0.000    0.000        2   52.000   12.410    7.746    1.758    0.239
 -74.010   40.800        1    6.500    1.300    6.436    1.287    0.200        3   20.667    0.433    5.022    0.429    0.021
